WKT,Name,Beschreibung
"POINT (13.4110416 51.0531096)",Tanneberg,
"POINT (13.464755 51.0946775)",Taubenheim,
"POINT (13.590065 51.0566789)",Unkersdorf,
"POINT (13.5812326 51.1637004)",Weinböhla,
"POINT (13.5849662 51.0858636)",Weistropp,
"POINT (13.3418321 51.0784257)",Wendischbora,
"POINT (13.5363349 51.0503651)",Wilsdruff,
"POINT (13.4264965 51.1979321)",Zadel,
"POINT (13.4047685 51.2001301)",Zehren,
"POINT (13.3089282 51.1367322)",Ziegenhain,
