WKT,Name,Beschreibung
"POINT (13.6904945 50.9949374)",Kleinnaundorf,
"POINT (13.6625209 51.0151247)",Potschappel,
"POINT (13.7953974 51.042873)",Blasewitz,
"POINT (13.704064 51.0165678)",Coschütz,
"POINT (13.6840456 51.05483719999999)",Cotta,
"POINT (13.6944203 51.0084172)",Gittersee,
"POINT (13.6298151 50.98012239999999)",Hainsberg,
"POINT (13.8740246 51.008917)",Pillnitz,
"POINT (13.8205582 51.0640401)",Weißer Hirsch,
"POINT (13.4431967 50.7181169)",Friedebach,
"POINT (13.4058582 50.6755977)",Heidersdorf,
"POINT (13.3587357 50.82881500000001)",Niedermüdisdorf,
"POINT (13.4088861 50.9803412)",Oberschaar,
"POINT (13.397738 50.719706)",Pilsdorf,
"POINT (13.4011862 50.7081658)",Ullersdorf,
"POINT (13.7297153 51.1631627)",Bärnsdorf,
"POINT (13.674189 51.2017459)",Bärwalde,
"POINT (13.4718306 51.3275939)",Bauda,
"POINT (13.7210497 51.1888401)",Berbisdorf,
"POINT (13.6916004 51.3535525)",Blochwitz,
"POINT (13.4352669 51.3311939)",Colmnitz,
"POINT (13.7740845 51.259162)",Dobra,
"POINT (13.480314 51.3886769)",Frauenhain,
"POINT (13.3765913 51.32076559999999)",Glaubitz,
"POINT (13.4278422 51.2304656)",Göhrisch,
"POINT (13.4690557 51.3619515)",Görzig,
"POINT (13.269833 51.32159499999999)",Gröba,
"POINT (13.4471558 51.4110818)",Gröditz,
"POINT (13.338993 51.2677037)",Heyda,
"POINT (13.2837226 51.27275359999999)",Jahnishausen,
"POINT (13.4273576 51.3761597)",Koselitz,
"POINT (13.6801487 51.3085959)",Lampertswalde,
"POINT (13.3748214 51.2915426)",Leutewitz,
"POINT (13.3730175 51.3798027)",Lichtensee,
"POINT (13.7351738 51.3425616)",Linz,
"POINT (13.3128308 51.2867208)",Mergendorf,
"POINT (13.6285147 51.2151576)",Naunhof,
"POINT (13.4093814 51.4185346)",Nauwalde,
"POINT (13.6591803 51.25048049999999)",Niederebersbach,
"POINT (13.3591594 51.4281499)",Nieska,
"POINT (13.6619202 51.2305943)",Oberebersbach,
"POINT (13.6309338 51.3537131)",Oelsnitz,
"POINT (13.2900079 51.2893151)",Pausitz,
"POINT (13.4232267 51.348609)",Peritz,
"POINT (13.7707736 51.3423182)",Ponickau,
"POINT (13.3241013 51.2907506)",Poppitz,
"POINT (13.3123261 51.2587947)",Prausitz,
"POINT (13.7232666 51.2129606)",Radeburg,
"POINT (13.6183793 51.25501209999999)",Reinersdorf,
"POINT (13.2677004 51.3117871)",Riesa,
"POINT (13.3217237 51.32312659999999)",Röderau,
"POINT (13.7018502 51.2384424)",Rödern,
"POINT (13.7072378 51.3036872)",Schönfeld,
"POINT (13.58511 51.3389882)",Skäßchen,
"POINT (13.3892088 51.4206593)",Spansberg,
"POINT (13.6251723 51.200897)",Steinbach,
"POINT (13.5763458 51.366725)",Strauch,
"POINT (13.4026985 51.3563351)",Streumen,
