WKT,Name,Beschreibung
"POINT (11.1871195 51.0353514)",Ollendorf,
"POINT (11.1169091 51.0174214)",Töttleben,
"POINT (11.1503103 50.91323800000001)",Klettbach,
"POINT (11.1621386 50.93357589999999)",Hayn,
"POINT (11.1816181 50.94306779999999)",Eichelborn,
"POINT (11.2115653 50.91981039999999)",Gutendorf,
"POINT (11.1268353 50.9453853)",Rohda,
"POINT (11.14826 50.9523595)",Obernissa,
"POINT (11.1739641 50.9609191)",Sohnstedt,
"POINT (11.1151458 50.9165005)",Schellroda,
"POINT (11.2037599 50.8518309)",Kranichfeld,
"POINT (11.1734763 50.8359999)",Stedten,
"POINT (11.3951917 50.94262189999999)",Mellingen,
"POINT (11.4402914 50.9392633)",Lehnstedt,
"POINT (11.381431 50.9507145)",Taubach,
"POINT (11.439126 50.8875989)",Niedersynderstedt,
"POINT (11.4046371 50.8819307)",Großlohma,
"POINT (11.405427 50.87863669999999)",Kleinlohma,
"POINT (11.4186223 50.8651194)",Obersynderstedt,
"POINT (11.4298056 50.8742629)",Söllnitz,
"POINT (11.4251955 50.8661383)",Lossnitz,
"POINT (11.4382938 50.87696649999999)",Tromlitz,
"POINT (11.1847348 51.00504629999999)",Niederzimmern,
"POINT (11.2215603 50.9869857)",Hopfgarten,
"POINT (11.215006 51.016564)",Ottstedt am Berge,
"POINT (11.1909884 50.9777534)",Utzberg,
"POINT (11.2333653 50.9625754)",Nohra,
"POINT (11.221617 50.95769130000001)",Isseroda,
"POINT (11.2591686 50.9742524)",Ulla,
"POINT (11.19677 50.9574847)",Bechstedtstraß,
"POINT (11.1536396 50.9691676)",Mönchenholzhausen,
"POINT (11.2440901 50.9396002)",Troistedt,
"POINT (11.3454414 50.9650665)",Oberweimar-Ehringsdorf,
"POINT (11.3476893 50.95972159999999)",Ehringsdorf,
"POINT (11.2878823 51.0516327)",Ramsla,
"POINT (11.2104934 51.0521099)",Ballstedt,
"POINT (11.274461 51.0323979)",Ettersburg,
"POINT (11.2283147 51.03629189999999)",Hottelstedt,
"POINT (11.2572268 51.0469688)",Ottmannshausen,
"POINT (11.2725336 51.05640649999999)",Stedten am Ettersberg,
"POINT (11.2363102 50.8180097)",Rittersdorf,
"POINT (11.274674 50.8033198)",Haufeld,
"POINT (11.2642252 50.81095479999999)",Treppendorf,
"POINT (11.2903028 51.0709663)",Schwerstedt,
"POINT (11.2447507 50.8584411)",Tannroda,
