WKT,Name,Beschreibung
"POINT (10.950902 51.2501972)",Obertopfstedt,
"POINT (11.3311334 51.20026789999999)",Ostramondra,
"POINT (10.9990891 51.2138773)",Ottenhausen,
"POINT (11.2685421 51.337258)",Reinsdorf,
"POINT (11.3200075 51.1995057)",Rettgenstedt,
"POINT (11.3267286 51.34558370000001)",Ritteburg,
"POINT (11.1561395 51.14044260000001)",Rohrborn,
"POINT (11.4307886 51.2959321)",Rossleben,
"POINT (11.4280574 51.2952461)",Rossleben, Kloster,
"POINT (11.1610792 51.28884979999999)",Sachsenburg,
"POINT (11.388473 51.1936531)",Schafau,
"POINT (11.0835803 51.14032719999999)",Schallenburg,
"POINT (11.1212595 51.2018677)",Scherndorf,
"POINT (10.966325 51.1905082)",Schilfa,
"POINT (11.2031026 51.2322193)",Schillingstedt,
"POINT (11.1110322 51.19576319999999)",Schönstedt,
"POINT (10.9206308 51.155963)",Schwerstedt,
"POINT (11.1163517 51.1617536)",Sömmerda,
"POINT (11.179898 51.18729440000001)",Stödten,
"POINT (10.9931418 51.16251519999999)",Straußfurt,
"POINT (11.0741536 51.1587104)",Tunzenhausen,
"POINT (10.9881355 51.150092)",Vehra,
"POINT (11.1206542 51.2210945)",Waltersdorf,
"POINT (11.0632029 51.1980605)",Weißensee,
"POINT (11.468162 51.2780733)",Wendelstein,
"POINT (11.1366849 51.1789435)",Wenigensömmern,
"POINT (11.0381913 51.15441639999999)",Wundersleben,
"POINT (10.5885707 51.162788)",Altengottern,
"POINT (10.5492324 51.093732)",Alterstedt,
"POINT (10.4490585 51.2352296)",Ammern,
"POINT (9.973965900000003 51.3765598)",Arenshausen,
"POINT (10.0301535 51.28025009999999)",Asbach,
"POINT (10.6410983 51.10915519999999)",Bad Langensalza,
"POINT (10.8389358 51.15239760000001)",Bad Tennstedt,
"POINT (10.3672636 51.418138)",Worbis,
"POINT (9.9433682 51.34256289999999)",Bornhagen,
"POINT (10.7477579 51.2036709)",Blankenburg,
"POINT (10.7046815 51.1834012)",Kirchheilingen,
"POINT (10.1365767 51.3785789)",Heiligenstadt,
"POINT (10.3345926 51.44481789999999)",Wintzingerode,
"POINT (10.5340797 51.1995152)",Bollstedt,
"POINT (10.6249104 51.1853162)",Bothenheiligen,
"POINT (10.7831997 51.18343589999999)",Bruchstedt,
"POINT (10.4494466 51.2648582)",Dachrieden,
"POINT (10.0134833 51.29624049999999)",Dietzenrode,
"POINT (10.0101344 51.3186749)",Fretterode ,
"POINT (9.977288999999999 51.293367)",Wahlhausen,
"POINT (10.3208628 51.3158836)",Dingelstädt,
"POINT (10.3650439 51.23826)",Dörna,
"POINT (10.3273433 51.2106839)",Eigenrieden,
"POINT (10.4464923 51.2907021)",Eigenrode,
"POINT (10.2706319 51.1161433)",Falken,
"POINT (10.4428332 51.1915481)",Felchta,
"POINT (10.4783418 51.1270849)",Flarchheim,
"POINT (10.4945531 51.213088)",Görmar,
"POINT (10.8945405 51.1566749)",Großballhausen,
"POINT (10.1746076 51.1362983)",Großburschla,
"POINT (10.5581004 51.1474675)",Großengottern,
"POINT (10.5366021 51.2281998)",Großgrabe,
"POINT (10.1449363 51.2283251)",Großtöpfer,
"POINT (10.7688461 51.1595142)",Großurleben,
"POINT (10.7838502 51.1176099)",Großvargula,
"POINT (10.6363623 51.16891230000001)",Großwelsbach,
"POINT (10.61406 51.06631429999999)",Grumbach,
"POINT (10.8184504 51.1914478)",Haussömmern,
"POINT (10.0672483 51.2935054)",Weidenbach,
"POINT (10.6340766 51.0681605)",Henningsleben,
"POINT (10.5139389 51.1372532)",Heroldishausen,
"POINT (10.5030311 51.1816294)",Höngeda,
"POINT (10.3871397 51.2379737)",Hollenbach,
"POINT (10.8190707 51.21230879999999)",Hornsömmern,
"POINT (10.4428428 51.3460597)",Rüdigershagen,
"POINT (10.4866194 51.3348538)",Zaunröden,
"POINT (10.648311 51.204203)",Issersheiligen,
"POINT (10.4818091 51.2733599)",Kaisershagen,
"POINT (10.3986519 51.4546516)",Kaltohmfeld,
"POINT (10.3582976 51.444133)",Kirchohmfeld,
"POINT (10.4282489 51.122938)",Kammerforst,
"POINT (10.8751084 51.15425159999999)",Klein Ballhausen,
"POINT (10.5431798 51.2257757)",Kleingrabe,
"POINT (10.769563 51.15519549999999)",Kleinurleben,
"POINT (10.6679843 51.1746443)",Kleinwelsbach,
"POINT (10.7433 51.1427922)",Klettstedt,
"POINT (10.8638851 51.1961071)",Kutzleben,
"POINT (10.4184439 51.1506296)",Langula,
"POINT (10.3898552 51.254777)",Lengefeld,
"POINT (9.9492357 51.3146283)",Lindewerra,
"POINT (10.8934592 51.1890083)",Lützensömmern,
"POINT (10.6735099 51.12217529999999)",Merxleben,
"POINT (10.809825 51.20748329999999)",Mittelsömmern,
"POINT (10.458804 51.2071689)",Mühlhausen,
"POINT (10.5073023 51.12156760000001)",Mülverstedt,
"POINT (10.7070213 51.11062669999999)",Nägelstedt,
"POINT (10.6755932 51.1932358)",Neunheiligen,
"POINT (10.4523064 51.1597719)",Niederdorla,
"POINT (10.4198295 51.1640613)",Oberdorla,
"POINT (10.4456196 51.1398556)",Oppershausen,
"POINT (10.3995174 51.2115641)",Pfafferode,
"POINT (10.4677127 51.25181)",Reiser,
"POINT (10.5267312 51.26426319999999)",Saalfeld,
"POINT (10.2187506 51.1052505)",Schnellmannshausen,
"POINT (10.577468 51.12302820000001)",Schönstedt,
"POINT (10.5126009 51.1646669)",Seebach,
"POINT (10.0091623 51.2867835)",Sickenberg,
"POINT (10.4857784 51.3095565)",Sollstedt,
"POINT (10.7186552 51.1573283)",Sundhausen,
"POINT (10.3093631 51.4686485)",Tastungen,
"POINT (10.6355998 51.13970809999999)",Thamsbrück,
"POINT (10.7516559 51.16463820000001)",Tottleben,
"POINT (10.2367714 51.13790830000001)",Treffurt,
"POINT (10.627365 51.09966610000001)",Ufhoven,
"POINT (10.0340471 51.30750380000001)",Vatterode,
