WKT,Name,Beschreibung
"POINT (10.9902585 50.887636)",Eischleben,
"POINT (10.8533604 50.70185410000001)",Elgersburg,
"POINT (11.092279 50.8625053)",Elleben,
"POINT (11.0567312 50.8660132)",Elxleben,
"POINT (11.1347712 50.8157958)",Ellichleben,
"POINT (10.8933101 50.81069859999999)",Espenfeld,
"POINT (11.0345561 50.83889840000001)",Ettischleben,
"POINT (11.0358027 50.6050407)",Friedersdorf,
"POINT (11.0779482 50.65141329999999)",Garsitz,
"POINT (11.0032554 50.64893780000001)",Gehren,
"POINT (11.0810859 50.7436257)",Geilsdorf,
"POINT (10.847272 50.71730969999999)",Geraberg,
"POINT (11.0177383 50.6071324)",Gillersdorf,
"POINT (11.0104128 50.7935086)",Görbitzhausen,
"POINT (11.0830353 50.7289558)",Gösselborn,
"POINT (11.0208532 50.69942460000001)",Gräfinau-Angstedt,
"POINT (11.0397817 50.7529494)",Griesheim,
"POINT (11.1242487 50.7478112)",Groß- und Kleinliebringen,
"POINT (11.0157483 50.5844292)",Großbreitenbach,
"POINT (11.1361482 50.79143049999999)",Großhettstedt,
"POINT (11.1243043 50.7536968)",Großliebringen,
"POINT (11.0851142 50.8807962)",Gügleben,
"POINT (10.8976987 50.8631871)",Haarhausen,
"POINT (10.9340918 50.73490590000001)",Heyda,
"POINT (10.8827844 50.8526696)",Holzhausen,
"POINT (10.9719361 50.8741396)",Ichtershausen,
"POINT (10.9152319 50.6858231)",Ilmenau,
"POINT (10.902247 50.691907)",Ilmenau-Roda,
"POINT (11.0225795 50.65957160000001)",Jesuborn,
"POINT (10.9769045 50.7688517)",Kettmannshausen,
"POINT (10.9147849 50.7697541)",Kleinbreitenbach,
"POINT (11.1430955 50.78869359999999)",Kleinhettstedt,
"POINT (11.1265637 50.74197199999999)",Kleinliebringen,
"POINT (10.9753885 50.6696585)",Langewiesen,
"POINT (10.850654 50.7681944)",Liebenstein,
"POINT (10.8573972 50.67960799999999)",Manebach,
"POINT (11.0176961 50.82100260000001)",Marlishausen,
"POINT (10.8911777 50.7249246)",Martinroda,
"POINT (10.99359 50.62415000000001)",Möhrenbach,
"POINT (10.9595371 50.90106910000001)",Molsdorf,
"POINT (11.1506087 50.75199359999999)",Nahwinden,
"POINT (10.9840025 50.7553693)",Neuroda,
"POINT (10.8889643 50.74460010000001)",Neusiß,
"POINT (10.9337182 50.581866)",Neustadt am Rennsteig,
"POINT (11.0384738 50.7734588)",Niederwillingen,
"POINT (11.0695314 50.7694209)",Oberilm,
"POINT (10.9774301 50.8195401)",Oberndorf,
"POINT (11.0242012 50.7669834)",Oberwillingen,
"POINT (10.9431881 50.66064179999999)",Oehrenstock,
"POINT (11.1015294 50.8527323)",Osthausen,
"POINT (11.0542428 50.6605395)",Pennewitz,
"POINT (10.9035708 50.7785857)",Plaue,
"POINT (10.9237928 50.8690513)",Rehestädt,
"POINT (10.9537099 50.77679269999999)",Reinsfeld,
"POINT (11.1187159 50.8783714)",Riechheim,
"POINT (10.8735955 50.7576069)",Rippersroda,
"POINT (11.0393208 50.900588)",Rockhausen,
"POINT (10.8916567 50.6966896)",Roda,
