WKT,Name,Beschreibung
"POINT (11.6729028 50.86918619999999)",Laasdorf,
"POINT (11.7747054 50.8540343)",Möckern,
"POINT (11.7962054 50.8290126)",Lippersdorf,
"POINT (11.7735363 50.8136367)",Rattelsdorf,
"POINT (11.7888584 50.81384329999999)",Weißbach,
"POINT (11.6894685 50.89327960000001)",Schlöben,
"POINT (11.6296157 50.88813589999999)",Drackendorf,
"POINT (11.6822757 50.8860188)",Gröben,
"POINT (11.6710208 50.8961943)",Rabis,
"POINT (11.6996093 50.9017774)",Mennewitz,
"POINT (11.7230914 50.9066552)",Schöngleina,
"POINT (11.748828 50.88426550000001)",Ruttersdorf,
"POINT (11.8369235 50.816561)",Kleinebersdorf,
"POINT (11.8476223 50.8070318)",Renthendorf,
"POINT (11.8768893 50.7977632)",Schwarzbach,
"POINT (11.874953 50.8130915)",Hellborn,
"POINT (11.9216213 50.800251)",Lederhose,
"POINT (11.9154352 50.77963159999999)",Birkhausen,
"POINT (11.9578108 50.7551921)",Niederpöllnitz,
"POINT (11.9767935 50.767388)",Neundorf,
"POINT (11.9383158 50.7484468)",Wetzdorf,
"POINT (11.9406232 50.7366524)",Uhlersdorf,
"POINT (11.971975 50.73479649999999)",Forstwolfersdorf,
"POINT (11.9820397 50.7530537)",Rohna,
"POINT (12.0184699 50.731404)",Schüptitz,
"POINT (12.0200644 50.7603707)",Schömberg,
"POINT (12.0377253 50.7451367)",Steinsdorf,
"POINT (12.0826381 50.73712)",Hohenölsen,
"POINT (12.0864937 50.757997)",Teichwitz,
"POINT (12.0612511 50.7721434)",Weida,
"POINT (11.9894651 50.7796653)",Frießnitz,
"POINT (12.0144602 50.78529409999999)",Burkersdorf,
"POINT (12.0448667 50.78902110000001)",Köckritz,
"POINT (12.0895943 50.7938787)",Veitsberg,
"POINT (12.1219768 50.7895109)",Mosen,
"POINT (12.1357655 50.786654)",Endschütz,
"POINT (12.1726166 50.78219600000001)",Wolfersdorf,
"POINT (12.1550734 50.79551929999999)",Letzendorf,
"POINT (12.165587 50.8068353)",Pohlen,
"POINT (12.0494716 50.8094414)",Sirbis,
"POINT (12.0282769 50.849953)",Dürrenebersdorf,
"POINT (12.0268952 50.8384405)",Weißig,
"POINT (11.9671094 50.8118236)",Kleinbocka,
"POINT (12.078338 50.8723995)",Gera,
"POINT (12.0112827 50.8793032)",Gera-Frankenthal,
"POINT (12.1097621 50.8787802)",Gera-Leumnitz,
"POINT (12.0702662 50.84957619999999)",Gera-Lusan,
"POINT (12.0457317 50.9031602)",Gera-Thieschitz,
"POINT (12.0727643 50.9017515)",Gera-Tinz,
"POINT (12.0645342 50.88232740000001)",Gera-Untermhaus,
"POINT (12.0862064 50.8479389)",Gera-Zwötzen ,
"POINT (12.0648884 50.83459)",Oberröppisch,
"POINT (12.1188029 50.84776850000001)",Kaimberg,
"POINT (12.1685244 50.8214408)",Rußdorf,
"POINT (11.998311 50.8363902)",Markersdorf,
"POINT (11.9864623 50.82992519999999)",Hundhaupten,
"POINT (11.9673412 50.82083759999999)",Großbocka,
"POINT (11.9336076 50.821334)",Münchenbernsdorf,
"POINT (11.8944053 50.82353719999999)",Tautendorf,
"POINT (11.8536135 50.8310802)",Eineborn,
"POINT (11.8236967 50.8279869)",Ottendorf,
"POINT (11.8010669 50.8711531)",Mörsdorf,
"POINT (11.8246025 50.8894842)",Schleifreisen,
"POINT (11.8575529 50.8940294)",Hermsdorf,
"POINT (11.8824699 50.8711923)",Reichenbach,
"POINT (11.9012449 50.856655)",St. Gangloff,
"POINT (11.9768349 50.85770100000001)",Großsaara,
"POINT (11.9128969 50.8427789)",Lindenkreuz ,
"POINT (11.9341183 50.8503979)",Waltersdorf,
"POINT (11.9409598 50.8329042)",Kleinbernsdorf,
"POINT (11.9638191 50.84147549999999)",Schöna,
"POINT (11.8955986 50.888996)",Oberndorf,
"POINT (11.9160693 50.8767362)",Kraftsdorf,
"POINT (11.9507434 50.8783751)",Harpersdorf,
"POINT (11.9758879 50.8821193)",Niederndorf,
"POINT (11.9895627 50.8953985)",Pörsdorf,
"POINT (12.0076295 50.90006839999999)",Mühlsdorf,
"POINT (12.1289205 50.8642637)",Thränitz,
"POINT (12.1288526 50.8960594)",Trebnitz,
"POINT (12.0822769 50.9088679)",Roschütz,
"POINT (11.8113442 50.9446471)",Serba,
"POINT (11.8692695 50.91483210000001)",Klosterlausnitz,
"POINT (11.920785 50.9282365)",Tautenhain,
"POINT (11.9428348 50.9537618)",Rauda,
"POINT (11.9572635 50.94478350000001)",Seifartsdorf,
"POINT (11.906066 50.9685165)",Eisenberg,
"POINT (11.8774231 50.9707117)",Saasa,
"POINT (11.8389562 50.9621058)",Hainspitz,
"POINT (11.7723663 50.9618018)",Hohendorf,
"POINT (11.8013024 50.972818)",Rauschwitz,
"POINT (11.8357403 50.98638489999999)",Petersberg,
"POINT (11.8777636 50.9930319)",Gösen,
"POINT (12.1412456 50.9035075)",Schwaara,
"POINT (12.1668203 50.91079790000001)",Mückern,
"POINT (12.1504761 50.9193084)",Zschippach,
"POINT (12.1689608 50.9245312)",Groitschen,
"POINT (12.1884112 50.94149089999999)",Hirschfeld,
"POINT (12.1992009 50.9518488)",Pölzig,
"POINT (12.2243862 50.9279537)",Frankenau,
"POINT (12.1464261 50.9370737)",Söllmnitz,
"POINT (12.1530108 50.9461312)",Wernsdorf,
"POINT (12.1095298 50.9120947)",Röpsen,
"POINT (12.1265173 50.91359790000001)",Dorna,
"POINT (12.0873187 50.96506429999999)",Großaga,
"POINT (12.0538875 50.94065610000001)",Roben,
"POINT (12.025181 50.939137)",Pohlitz,
"POINT (12.0021744 50.9094292)",Hartmannsdorf,
"POINT (11.9724862 50.91919439999999)",Reichardtsdorf,
"POINT (11.985491 50.9349674)",Gleina,
"POINT (11.9947422 50.94773449999999)",Caaschwitz,
"POINT (11.9416183 50.97728420000001)",Etzdorf,
"POINT (11.949213 50.989897)",Thiemendorf,
"POINT (11.9581917 51.00711379999999)",Buchheim,
"POINT (11.9534343 51.01725769999999)",Walpernhain,
"POINT (11.9063824 51.00254340000001)",Königshofen,
"POINT (11.8316021 51.0009261)",Tünschütz,
"POINT (11.8384522 51.0304384)",Hainchen,
"POINT (11.7614019 51.03221679999999)",Thierschneck,
"POINT (11.7393268 51.0348173)",Schleuskau,
"POINT (11.7142905 51.0417861)",Rodameuschel,
"POINT (11.6899905 51.03286120000001)",Wichmar,
"POINT (11.706931 51.0558108)",Camburg,
"POINT (11.6602814 51.0442732)",Münchengosserstädt,
"POINT (11.643655 51.0355506)",Eckolstädt,
"POINT (11.6652407 51.06828979999999)",Schmiedehausen,
"POINT (11.6664135 51.0819506)",Lachstedt,
"POINT (10.1526023 51.3046008)",Bernterode,
"POINT (10.3487871 51.253135)",Bickenriede,
"POINT (10.3082724 51.2598732)",Büttstedt,
"POINT (10.2599108 51.1945196)",Faulungen,
"POINT (10.1948658 51.35260510000001)",Geisleden,
"POINT (10.1548973 51.44064629999999)",Glasehausen,
"POINT (10.2113095 51.25007480000001)",Großbartloff,
"POINT (10.1670702 51.4221818)",Günterode,
"POINT (10.2145799 51.20093749999999)",Hildebrandshausen,
